program	date	commit	size_cells	delta_cells	plot_delta_cells	change_kind	validation	plot	exclusion	reason	evidence
tic-tac-toe-4x4	2026-05-28T10:08:14+03:00	f9ef6c5327f36844735a9bb67d8da08cad0036c8				appearance	not_measured	0	no_size_record	Добавлен первый MK-Pro draft игры; численный размер в этом коммите ещё не зафиксирован.	f9ef6c5327f36844735a9bb67d8da08cad0036c8:examples/tic-tac-toe-4x4.mkpro
tic-tac-toe-4x4	2026-05-28T17:59:50+03:00	7a562658f131ebabb68e25bb9b449b684e01d321	302			baseline	historical_record	1		Первая документированная --analysis оценка после переноса в pending-optimizer	7a562658f131ebabb68e25bb9b449b684e01d321:examples/pending-optimizer/README.md | | `tic-tac-toe-4x4.mkpro` | 302 | 105 | 4x4 line-count state representation |
tic-tac-toe-4x4	2026-05-28T19:49:30+03:00	0b6b68c8cb029f314785ea3296bd9fc3cd2f5cf1	294	-8	-8	optimization	historical_record	1		Улучшили lowering игр и каталог; сократились line_count/общие конструкции	0b6b68c8cb029f314785ea3296bd9fc3cd2f5cf1:examples/pending-optimizer/README.md | | `tic-tac-toe-4x4.mkpro` | 294 | 105 | 4x4 line-count state representation |
tic-tac-toe-4x4	2026-05-28T22:49:11+03:00	92aead998eb9406fdd9b899c948e3fa0b3b29cc2	295	1	1	increase	historical_record	1		После добавления оптимизаций недокументированных возможностей baseline вырос с 294 до 295. Конкретная причина лишней клетки в коммите не изолирована.	92aead998eb9406fdd9b899c948e3fa0b3b29cc2:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 295,
tic-tac-toe-4x4	2026-05-28T23:34:23+03:00	52761d43291ca53b03bfc58e00bf2fec3921038a	292	-3	-3	optimization	historical_record	1		Удалили недостижимые lowered procedures	52761d43291ca53b03bfc58e00bf2fec3921038a:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 292,
tic-tac-toe-4x4	2026-05-29T00:07:12+03:00	7193b987ec59251c45e0e99d316afb76268f7347	278	-14	-14	optimization	historical_record	1		Добавили повторное использование bit-mask значений	7193b987ec59251c45e0e99d316afb76268f7347:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 278,
tic-tac-toe-4x4	2026-05-29T01:19:08+03:00	27e7ebeb43662e380b85ae59ab0f5f95d7ab7b45	246	-32	-32	optimization	historical_record	1		Оптимизировали pending game examples и их lowering	27e7ebeb43662e380b85ae59ab0f5f95d7ab7b45:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 246,
tic-tac-toe-4x4	2026-05-29T01:54:13+03:00	f18624c77c56dba6653a34a7657e25485334c671	243	-3	-3	optimization	historical_record	1		Дополнительно свернули конструкции pending examples	f18624c77c56dba6653a34a7657e25485334c671:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 243,
tic-tac-toe-4x4	2026-05-29T02:27:39+03:00	79c7be0e5dd373f87368095b7d1c29c84fe0bd1b	242	-1	-1	optimization	historical_record	1		Подрезали непосредственно tic-tac-toe	79c7be0e5dd373f87368095b7d1c29c84fe0bd1b:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 242,
tic-tac-toe-4x4	2026-05-29T09:37:25+03:00	b1815230b5116f52999eec41f1d516bb9b8de7da	246	4	4	correctness_fix	historical_record	1		Исправили неверное форматирование multi-field show; корректная семантика вывода потребовала 4 клетки	b1815230b5116f52999eec41f1d516bb9b8de7da:tests/compiler/example-sizes.test.ts |   "tic-tac-toe-4x4": 246,
