program	description	title	author	source_url
pmk210.txt	pmk210.md	Alaram	Сергей Шинкевич	https://lordbss.narod.ru/pmk210.html
pmk100.txt	pmk100.md	American Ninja	Евгений Век	https://lordbss.narod.ru/pmk100.html
pmk67.txt	pmk67.md	Black Lord	Евгений Век	https://lordbss.narod.ru/pmk67.html
pmk127.txt	pmk127.md	Block Out	С. Андрианов	https://lordbss.narod.ru/pmk127.html
pmk56.txt	pmk56.md	Bosconien	Владимир Трофимчук	https://lordbss.narod.ru/pmk56.html
pmk87.txt	pmk87.md	Camel Trophy	Павел Меркулов	https://lordbss.narod.ru/pmk87.html
pmk83.txt	pmk83.md	Chase H.Q.	Константин Сергеев	https://lordbss.narod.ru/pmk83.html
pmk137.txt	pmk137.md	Chronos	Сергей Чурсанов	https://lordbss.narod.ru/pmk137.html
pmk37.txt	pmk37.md	Cowboy	Евгений Век	https://lordbss.narod.ru/pmk37.html
pmk164.txt	pmk164.md	Dungeon	С. Андрианов	https://lordbss.narod.ru/pmk164.html
pmk02.txt	pmk02.md	Encircled With Fantoms	Сергей Устюгов	https://lordbss.narod.ru/pmk02.html
pmk03.txt	pmk03.md	Elite	Владимир Трофимчук	https://lordbss.narod.ru/pmk03.html
pmk219.txt	pmk219.md	F-19	А. Беликов	https://lordbss.narod.ru/pmk219.html
pmk91.txt	pmk91.md	For Kicks-I	Евгений Век	https://lordbss.narod.ru/pmk91.html
pmk92.txt	pmk92.md	For Kicks-II	Евгений Век	https://lordbss.narod.ru/pmk92.html
pmk93.txt	pmk93.md	For Kicks-III	Евгений Век	https://lordbss.narod.ru/pmk93.html
pmk230.txt	pmk230.md	I.C.P.	Александр Михолап	https://lordbss.narod.ru/pmk230.html
pmk151.txt	pmk151.md	Jack Pot	Константин Сергеев	https://lordbss.narod.ru/pmk151.html
pmk120.txt	pmk120.md	Kung-Fu	Константин Сергеев	https://lordbss.narod.ru/pmk120.html
pmk94.txt	pmk94.md	New Rally	Сергей Чурсанов	https://lordbss.narod.ru/pmk94.html
pmk103.txt	pmk103.md	Planet Z	Сергей Устюгов	https://lordbss.narod.ru/pmk103.html
pmk177.txt	pmk177.md	Playboy	Евгений Век	https://lordbss.narod.ru/pmk177.html
pmk99.txt	pmk99.md	Policeman	Евгений Век	https://lordbss.narod.ru/pmk99.html
pmk20.txt	pmk20.md	Professional Box	автор неизвестен	https://lordbss.narod.ru/pmk20.html
pmk130.txt	pmk130.md	Pursuit	Сергей Чурсанов	https://lordbss.narod.ru/pmk130.html
pmk51.txt	pmk51.md	Rambo-I	Евгений Век	https://lordbss.narod.ru/pmk51.html
pmk52.txt	pmk52.md	Rambo-II	Евгений Век	https://lordbss.narod.ru/pmk52.html
pmk53.txt	pmk53.md	Rambo-III	Евгений Век	https://lordbss.narod.ru/pmk53.html
pmk36.txt	pmk36.md	Rising From Hell	Дмитрий Родионов	https://lordbss.narod.ru/pmk36.html
pmk45.txt	pmk45.md	Robin Hood	С. Андрианов	https://lordbss.narod.ru/pmk45.html
pmk77.txt	pmk77.md	Sex-Mission	Евгений Век	https://lordbss.narod.ru/pmk77.html
pmk107.txt	pmk107.md	Soldier Of Fortune	Евгений Век	https://lordbss.narod.ru/pmk107.html
pmk138.txt	pmk138.md	Swamp	Александр Михолап	https://lordbss.narod.ru/pmk138.html
pmk153.txt	pmk153.md	The Dice	Константин Сергеев	https://lordbss.narod.ru/pmk153.html
pmk58.txt	pmk58.md	The Goonmaster	К. Бокач, А. Грубин	https://lordbss.narod.ru/pmk58.html
pmk111.txt	pmk111.md	The Last Sapper Of The Galaxy	Евгений Век	https://lordbss.narod.ru/pmk111.html
pmk155.txt	pmk155.md	Toti	Александр Михолап	https://lordbss.narod.ru/pmk155.html
pmk13.txt	pmk13.md	Twin Peaks	Евгений Век	https://lordbss.narod.ru/pmk13.html
pmk124.txt	pmk124.md	Turboslalom	Константин Сергеев	https://lordbss.narod.ru/pmk124.html
pmk251.txt	pmk251.md	Turtles	Андрей Ивушкин	https://lordbss.narod.ru/pmk251.html
pmk211.txt	pmk211.md	Vertol	Сергей Тарасов	https://lordbss.narod.ru/pmk211.html
pmk212.txt	pmk212.md	Vertol-2	Сергей Тарасов, Станислав Чегодаев	https://lordbss.narod.ru/pmk212.html
pmk213.txt	pmk213.md	Vertol-3	Сергей Тарасов	https://lordbss.narod.ru/pmk213.html
pmk08.txt	pmk08.md	Virus	Александер Крючков	https://lordbss.narod.ru/pmk08.html
pmk06.txt	pmk06.md	Western	Константин Сергеев	https://lordbss.narod.ru/pmk06.html
pmk145.txt	pmk145.md	Авантюрист	автор неизвестен	https://lordbss.narod.ru/pmk145.html
pmk95.txt	pmk95.md	Автогонки	Михаил Храмов	https://lordbss.narod.ru/pmk95.html
pmk57.txt	pmk57.md	Агрессия	Вадим Куняев	https://lordbss.narod.ru/pmk57.html
pmk239.txt	pmk239.md	Астероид	С. И. Пономарёв	https://lordbss.narod.ru/pmk239.html
pmk159.txt	pmk159.md	Атака	В. Ю. Солдатов	https://lordbss.narod.ru/pmk159.html
pmk244.txt	pmk244.md	АЭС	Ю. Пшенник, Владимир Трофимчук	https://lordbss.narod.ru/pmk244.html
pmk200.txt	pmk200.md	Аэропорт	Владимир Трофимчук	https://lordbss.narod.ru/pmk200.html
pmk128.txt	pmk128.md	Бадминтон	Ю. Байков, Михаил Лялин	https://lordbss.narod.ru/pmk128.html
pmk76.txt	pmk76.md	Банкир	А. Камоедов	https://lordbss.narod.ru/pmk76.html
pmk122.txt	pmk122.md	Биатлон	Владимир Сивицкий	https://lordbss.narod.ru/pmk122.html
pmk172.txt	pmk172.md	Биржа	Игорь Вершинин	https://lordbss.narod.ru/pmk172.html
pmk175.txt	pmk175.md	Биржа	Олег Хажинский	https://lordbss.narod.ru/pmk175.html
pmk44.txt	pmk44.md	Битва-4	Евгений Век	https://lordbss.narod.ru/pmk44.html
pmk135.txt	pmk135.md	Блокада	Александер Крючков	https://lordbss.narod.ru/pmk135.html
pmk00.txt	pmk00.md	Boxing	Mikhail Karasev	https://lordbss.narod.ru/pmk00.html
pmk10.txt	pmk10.md	Бокс-2	Евгений Век	https://lordbss.narod.ru/pmk10.html
pmk218.txt	pmk218.md	Бомбер-видео	Сергей Чурсанов	https://lordbss.narod.ru/pmk218.html
pmk203.txt	pmk203.md	Борт-69	Сергей Шинкевич	https://lordbss.narod.ru/pmk203.html
pmk28.txt	pmk28.md	Бродяга	Михаил Храмов	https://lordbss.narod.ru/pmk28.html
pmk116.txt	pmk116.md	Бродяга Вселенной-2	А. Пирожков	https://lordbss.narod.ru/pmk116.html
pmk117.txt	pmk117.md	Бродяга Вселенной-3	А. Пирожков	https://lordbss.narod.ru/pmk117.html
pmk106.txt	pmk106.md	В облаке астероидов	А. Пирожков	https://lordbss.narod.ru/pmk106.html
pmk170.txt	pmk170.md	Видеосалон	С. Бекетов	https://lordbss.narod.ru/pmk170.html
pmk21.txt	pmk21.md	Викинг-завоеватель	Евгений Век, Сергей Устюгов	https://lordbss.narod.ru/pmk21.html
pmk22.txt	pmk22.md	Викинг-король	Евгений Век	https://lordbss.narod.ru/pmk22.html
pmk23.txt	pmk23.md	Викинг-интервент	Евгений Век	https://lordbss.narod.ru/pmk23.html
pmk169.txt	pmk169.md	Вирус	Владимир Трофимчук	https://lordbss.narod.ru/pmk169.html
pmk237.txt	pmk237.md	Водная змея	Сергей Шинкевич	https://lordbss.narod.ru/pmk237.html
pmk214.txt	pmk214.md	Воздушный бой	М. Семёнов	https://lordbss.narod.ru/pmk214.html
pmk207.txt	pmk207.md	Воздушный десант	Сергей Шинкевич	https://lordbss.narod.ru/pmk207.html
pmk88.txt	pmk88.md	Вольво	Евгений Век	https://lordbss.narod.ru/pmk88.html
pmk162.txt	pmk162.md	Воришка-видео	Владимир Трофимчук	https://lordbss.narod.ru/pmk162.html
pmk229.txt	pmk229.md	Вратарь	Владимир Лазарев	https://lordbss.narod.ru/pmk229.html
pmk113.txt	pmk113.md	Галактический патруль	Евгений Век	https://lordbss.narod.ru/pmk113.html
pmk112.txt	pmk112.md	Галактические пираты	Евгений Век	https://lordbss.narod.ru/pmk112.html
pmk96.txt	pmk96.md	Гангстеры	С. И. Пономарёв	https://lordbss.narod.ru/pmk96.html
pmk240.txt	pmk240.md	Гонки на зимнем озере	Игорь Данилов	https://lordbss.narod.ru/pmk240.html
pmk81.txt	pmk81.md	Джеймс Бонд - агент 007	Евгений Век	https://lordbss.narod.ru/pmk81.html
pmk82.txt	pmk82.md	Джеймс Бонд - агент 007 - 2	Евгений Век	https://lordbss.narod.ru/pmk82.html
pmk75.txt	pmk75.md	Джой	Владимир Молоканов, Владимир Трофимчук	https://lordbss.narod.ru/pmk75.html
pmk181.txt	pmk181.md	Джунгли	Сергей Чурсанов	https://lordbss.narod.ru/pmk181.html
pmk182.txt	pmk182.md	Джунгли-2	Сергей Чурсанов	https://lordbss.narod.ru/pmk182.html
pmk55.txt	pmk55.md	Диверсант	Сергей Устюгов	https://lordbss.narod.ru/pmk55.html
pmk201.txt	pmk201.md	Диспетчер	П. Аронович	https://lordbss.narod.ru/pmk201.html
pmk202.txt	pmk202.md	Диспетчер-2	Александр Михолап	https://lordbss.narod.ru/pmk202.html
pmk223.txt	pmk223.md	Долина	А. Н. Гришин, Владимир Трофимчук	https://lordbss.narod.ru/pmk223.html
pmk249.txt	pmk249.md	Домино-вундеркинд	С. Беляев	https://lordbss.narod.ru/pmk249.html
pmk123.txt	pmk123.md	Жокей	Владимир Трофимчук	https://lordbss.narod.ru/pmk123.html
pmk191.txt	pmk191.md	Замок с призраками	Сергей Чурсанов	https://lordbss.narod.ru/pmk191.html
pmk192.txt	pmk192.md	Замок с призраками-4	Игорь Вершинин, Сергей Чурсанов	https://lordbss.narod.ru/pmk192.html
pmk66.txt	pmk66.md	Замок Сатаны	Сергей Устюгов	https://lordbss.narod.ru/pmk66.html
pmk101.txt	pmk101.md	Захват	А. Пирожков	https://lordbss.narod.ru/pmk101.html
pmk110.txt	pmk110.md	Защита от нападения	Сергей Чурсанов	https://lordbss.narod.ru/pmk110.html
pmk11.txt	pmk11.md	Защитник	Дмитрий Моргунов	https://lordbss.narod.ru/pmk11.html
pmk12.txt	pmk12.md	Защитник-2	Дмитрий Моргунов	https://lordbss.narod.ru/pmk12.html
pmk48.txt	pmk48.md	Защитник-3	Дмитрий Моргунов	https://lordbss.narod.ru/pmk48.html
pmk104.txt	pmk104.md	Звездолёт	Владимир Сивицкий	https://lordbss.narod.ru/pmk104.html
pmk09.txt	pmk09.md	Звёздный боец	Сергей Чурсанов	https://lordbss.narod.ru/pmk09.html
pmk32.txt	pmk32.md	Звёздный боец-2	Сергей Чурсанов	https://lordbss.narod.ru/pmk32.html
pmk33.txt	pmk33.md	Звёздный боец-3	Сергей Устюгов	https://lordbss.narod.ru/pmk33.html
pmk34.txt	pmk34.md	Звёздный боец-4	Сергей Устюгов	https://lordbss.narod.ru/pmk34.html
pmk119.txt	pmk119.md	Звёздный поход	А. Лотохов	https://lordbss.narod.ru/pmk119.html
pmk65.txt	pmk65.md	Зловещий чертог	Евгений Век	https://lordbss.narod.ru/pmk65.html
pmk149.txt	pmk149.md	Зона	Сергей Чурсанов	https://lordbss.narod.ru/pmk149.html
pmk156.txt	pmk156.md	Игральный автомат	автор неизвестен	https://lordbss.narod.ru/pmk156.html
pmk250.txt	pmk250.md	Казанова	Андрей Ивушкин	https://lordbss.narod.ru/pmk250.html
