date	commit	state	size_cells	delta_cells	change_kind	reason	evidence
2026-05-28T10:08:14+03:00	f9ef6c5327f36844735a9bb67d8da08cad0036c8	committed			appearance	Добавлен первый MK-Pro draft игры; размер в репозитории ещё не зафиксирован	git log --follow; file added as examples/tic-tac-toe-4x4.mkpro
2026-05-28T17:59:50+03:00	7a562658f131ebabb68e25bb9b449b684e01d321	committed	302		baseline	Первая документированная --analysis оценка после переноса в pending-optimizer	pending README table
2026-05-28T19:49:30+03:00	0b6b68c8cb029f314785ea3296bd9fc3cd2f5cf1	committed	294	-8	optimization	Улучшили lowering игр и каталог; сократились line_count/общие конструкции	commit diff; pending README 302->294
2026-05-28T23:19:49+03:00	8eae3d6c32947117a8a339f442724952e1f0d0ff	committed	295	1	regression	Большая переработка parser/lowering изменила выбранный план; локальный регресс на 1 клетку	commit diff; pending README 294->295
2026-05-28T23:34:23+03:00	52761d43291ca53b03bfc58e00bf2fec3921038a	committed	292	-3	optimization	Удалили недостижимые lowered procedures	commit title and diff; pending README 295->292
2026-05-29T00:07:12+03:00	7193b987ec59251c45e0e99d316afb76268f7347	committed	278	-14	optimization	Добавили повторное использование bit-mask значений	commit title and diff; pending README 292->278
2026-05-29T01:19:08+03:00	27e7ebeb43662e380b85ae59ab0f5f95d7ab7b45	committed	246	-32	optimization	Оптимизировали pending game examples и их lowering	commit title and diff; pending README 278->246
2026-05-29T01:54:13+03:00	f18624c77c56dba6653a34a7657e25485334c671	committed	243	-3	optimization	Дополнительно свернули конструкции pending examples	commit title and diff; pending README 246->243
2026-05-29T02:27:39+03:00	79c7be0e5dd373f87368095b7d1c29c84fe0bd1b	committed	242	-1	optimization	Подрезали непосредственно tic-tac-toe	commit title and diff; pending README 243->242
2026-05-29T09:37:25+03:00	b1815230b5116f52999eec41f1d516bb9b8de7da	committed	246	4	correctness_fix	Исправили неверное форматирование multi-field show; корректная семантика вывода потребовала 4 клетки	commit title and compiler/parser diff; pending README 242->246
2026-05-29T10:36:06+03:00	c27f0591f7207e54f7a570d2e32a3b543fecee7b	committed	242	-4	optimization	Восстановили более компактный lowering видео-вывода	commit title and diff; pending README 246->242
2026-05-29T11:46:15+03:00	4b86d3e6f2164d3b0c66e56304a44226591edbd4	committed	246	4	regression	Общая оптимизация дала выигрыши другим играм, но ухудшила выбранный план 4x4 на 4 клетки	compiler diff; pending README 242->246 while most peers shrink
2026-05-29T12:29:36+03:00	2656edd89f4fb8a1c366285f73898a045b5a0564	committed	241	-5	optimization	Обновили display lowering и метрики; вернули 5 клеток	commit title and diff; pending README 246->241
2026-05-29T15:30:26+03:00	a717966edba5cecee7c92ccffa61e17d31cf7ddc	committed	219	-22	optimization	Оптимизировали lowering guarded cardinal directions; общий план стал существенно короче	commit title and diff; pending README 241->219
